編號,供應商簡稱,分類
43987,感動食品,#N/A
44034,茶泡先生的蓮霧,水果
44121,墾丁觀天星農場,#N/A
44189,玉米三巷冰淇淋,冰品
44290,彰化芬園 楊班長的玫瑰紅荔枝,水果
44799,樂迷倉庫玩具店,幼兒相關
44964,墾丁觀天星農場 台北連絡處,#N/A
45167,拉拉山ㄚ妞果園,水果
45255,標裕牧場,生鮮水產/肉品
45278,改潮換袋,運動/園藝/生活/其他
45509,清境奇異果,水果
45600,千紅一品茶,運動/園藝/生活/其他
45609,愛文芒果-頂級嚴選,#N/A
45618,三源牧場,生鮮水產/肉品
45657,加州運通國際貿易有限公司,運動/園藝/生活/其他
45674,黃爸爸葡萄園,水果
45690,冰果農場,食品加工品
45756,龍芳茶園,茶/咖啡
45846,賴良記農產,農產品/原住民/花東
45884,那米亞類胡蘿菠素植物性蛋白,#N/A
45905,千蕙農園,水果
46551,六月紅放牧滴雞精,飲料
46580,頤和有限公司,運動/園藝/生活/其他
